cell,cond,bucket,n,dates,mean5,t5,hit,mean10,t10,train_t,test_t,test_mean,base_mean,confirmed
donchian20_up/forming,vs_ema20,above,3619,484,-0.14023100119548434,-0.16861320560409715,0.4661508704061896,-0.1515714298192293,0.11096046458387288,1.2748287260780566,-1.9433739032821438,-0.4832294699963429,-0.15377640076390456,False
donchian20_up/forming,mkt20,mkt flat,2632,333,-0.1291859955847827,0.5202193132893597,0.46580547112462006,-0.15388690798923413,0.6509961758877102,1.3384620663537936,-1.5141891687427274,-0.5248827402979842,-0.15377640076390456,False
double_bottom/forming,mkt20,mkt flat,618,253,-0.23533222599287193,-0.4009586007870396,0.45792880258899676,-0.42588562416212017,-1.349856516123464,-1.0059797335777807,0.6078000301229157,-0.2763347888401532,-0.2516943180652481,False
double_top/forming,vol_ratio,<1x,526,284,0.26902361550554793,2.0849605919164147,0.5285171102661597,0.5579115458299273,2.2943400246433647,3.509141626001225,-0.6821936366222889,-0.2973126428623271,-0.1510958565695708,False
double_top/forming,rsi,45-55,567,314,-0.16876660081524403,-0.6547412577898903,0.5097001763668431,0.34963194400145775,0.7430231924873537,1.0365578162903786,-2.2841979947248334,-0.7500141021910022,-0.1510958565695708,False
double_top/forming,price,$2-10,513,288,-0.003244243038185345,-0.16160438563660234,0.5146198830409356,0.13467537635984922,-0.22156050740012462,2.036092581877976,-2.167828266080569,-0.5864166615756352,-0.1510958565695708,False
double_top/forming,vs_ema20,above,501,287,0.012870284094380373,0.26287847131699327,0.5389221556886228,0.06542229747792672,-0.2523819143722777,1.8513178653176674,-1.6508371220951998,-0.5963638394990152,-0.1510958565695708,False
double_top/forming,mkt20,mkt flat,682,272,0.015554280614265231,0.004579246688107947,0.5190615835777126,0.014344473784710966,-0.08744172361095778,2.120764199316435,-2.516649322822225,-0.5160590653976145,-0.1510958565695708,False
ema20_loss/confirmed,vol_ratio,1-2x,829,320,0.0648331832518176,0.36040842212840896,0.5392038600723763,0.08398943224405916,-0.05270328916271935,-0.21339442102475936,0.8768577881239186,0.1516457162312079,0.17683188443536804,False
ema20_loss/confirmed,vol_ratio,<1x,1047,344,0.19049259910544247,0.7779378656541375,0.545367717287488,0.16701811092379382,1.0169019449620418,0.8729571808790564,0.07422257452591484,0.1534814462973815,0.17683188443536804,False
ema20_loss/confirmed,rsi,30-45,669,281,0.3189116554169579,1.5665997042502535,0.5695067264573991,0.6235799049922053,1.8607538369885572,1.8745564227851526,0.16830525863379742,0.23735325803888754,0.17683188443536804,False
ema20_loss/confirmed,rsi,45-55,1426,409,0.1086958575516626,-0.5294538701058665,0.5371669004207573,0.03913627721252212,-0.6922342186340086,-0.7997567361402665,0.36086009035451627,0.23098185412707706,0.17683188443536804,False
ema20_loss/confirmed,atr_pct,high,768,287,0.05176186850390596,-0.431901161293595,0.54296875,-0.5304390132823321,-1.1083053182943154,-1.1460762682963819,0.8259226127435855,0.21238166842742293,0.17683188443536804,False
ema20_loss/confirmed,atr_pct,low,691,293,0.5138923793203568,2.6309426518142813,0.5687409551374819,0.7852074643265068,3.480874261486411,3.859727318528425,-0.33274280504161274,0.20618477287595183,0.17683188443536804,False
